City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Punta Arenas,CL,51.91,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
10,Mar Del Plata,AR,61.88,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
16,Chipinge,ZW,62.2,broken clouds,-20.1883,32.6236,Chipinge Breeze Lodge
22,Ahipara,NZ,60.31,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
24,Hobart,AU,58.86,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
25,Challans,FR,57.4,few clouds,46.8436,-1.8749,Citotel Le Challans
27,Christchurch,NZ,52.0,clear sky,-43.5333,172.6333,The George
38,Cape Town,ZA,64.09,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
42,Busselton,AU,50.09,scattered clouds,-33.65,115.3333,Observatory Guest House
50,Yichang,CN,57.51,light rain,30.7144,111.2847,Gezhouba Hotel
52,Alice Springs,AU,63.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
56,New Norfolk,AU,58.5,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
57,Faya,SA,64.92,clear sky,18.3851,42.4509,املاك خالد الشعشوع
67,Katsuura,JP,58.1,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
72,Korla,CN,54.84,clear sky,41.7597,86.1469,Gulisitan Hotel
75,Lebu,CL,54.19,clear sky,-37.6167,-73.65,Hostal Las Lilas
76,Clearlake,US,61.02,overcast clouds,38.9582,-122.6264,Americas Best Value Inn & Suites Clearlake Wine Country
81,Torbay,CA,52.57,broken clouds,47.6666,-52.7314,Gallows Cove
82,Tateyama,JP,58.01,moderate rain,34.9833,139.8667,Tateyama Seaside Hotel
86,Pskov,RU,51.71,scattered clouds,57.8136,28.3496,Zolotaya Naberezhnaya
97,Osoyoos,CA,59.0,overcast clouds,49.0331,-119.4524,Watermark Beach Resort Hotel
100,Dunedin,NZ,51.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
109,Lata,PT,59.05,clear sky,40.1629,-8.3327,Casa Maquia
111,Tonekabon,IR,60.17,scattered clouds,36.8163,50.8738,Hotel Sadra
114,Port Hedland,AU,64.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
118,Dno,RU,53.19,overcast clouds,57.8277,29.9637,Gostevoy Dom in Dno
123,Ureki,GE,59.43,clear sky,41.9956,41.7786,Hotel Ritsa
126,Falam,MM,57.4,broken clouds,22.9167,93.6833,Falang Government Guesthouse
