City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Peterhead,GB,57.5058,-1.7981,46.71,76,100,28.72,overcast clouds
1,Punta Arenas,CL,-53.15,-70.9167,51.91,46,40,28.77,scattered clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,60,75,8.05,broken clouds
3,Chara,RU,56.9064,118.2631,30.51,76,100,2.48,overcast clouds
4,Plymouth,US,41.8334,-70.8328,77.22,62,1,1.01,clear sky
5,Kapaa,US,22.0752,-159.319,80.58,85,40,1.01,scattered clouds
6,Port Alfred,ZA,-33.5906,26.891,70.29,81,100,12.19,overcast clouds
7,Albany,US,42.6001,-73.9662,72.75,56,100,1.01,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,47.82,75,75,29.93,moderate rain
9,Rikitea,PF,-23.1203,-134.9692,74.43,77,100,21.61,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,61.88,90,19,17.0,few clouds
11,Sitka,US,57.0531,-135.33,48.09,81,90,5.75,overcast clouds
12,Upernavik,GL,72.7868,-56.1549,19.06,85,92,8.14,overcast clouds
13,Kudahuvadhoo,MV,2.6708,72.8944,81.91,69,14,9.6,few clouds
14,Necochea,AR,-38.5473,-58.7368,85.03,48,21,15.79,few clouds
15,Klaksvik,FO,62.2266,-6.589,41.92,61,99,35.16,overcast clouds
16,Chipinge,ZW,-20.1883,32.6236,62.2,68,64,7.45,broken clouds
17,Ahuimanu,US,21.4447,-157.8378,78.78,71,75,0.0,light rain
18,Avarua,CK,-21.2078,-159.775,73.45,68,40,8.05,light rain
19,Narsaq,GL,60.9167,-46.05,37.8,36,100,3.2,overcast clouds
20,San Cristobal,VE,7.7669,-72.225,80.78,42,46,4.72,scattered clouds
21,Lorengau,PG,-2.0226,147.2712,79.61,81,99,4.54,overcast clouds
22,Ahipara,NZ,-35.1667,173.1667,60.31,94,100,10.02,overcast clouds
23,Nortelandia,BR,-14.4547,-56.8028,92.71,42,72,3.69,broken clouds
24,Hobart,AU,-42.8794,147.3294,58.86,82,75,9.22,broken clouds
25,Challans,FR,46.8436,-1.8749,57.4,78,24,9.44,few clouds
26,Pedernales,DO,18.0384,-71.744,86.27,65,21,4.38,few clouds
27,Christchurch,NZ,-43.5333,172.6333,52.0,84,0,3.44,clear sky
28,Rudnogorsk,RU,57.2639,103.7519,26.38,93,95,4.5,overcast clouds
29,Tasiilaq,GL,65.6145,-37.6368,27.1,75,7,7.83,clear sky
30,Bethel,US,41.3712,-73.414,76.1,50,1,1.01,clear sky
31,Muhos,FI,64.808,25.9931,32.9,94,100,6.13,overcast clouds
32,Taoudenni,ML,22.6783,-3.9836,82.67,22,0,9.33,clear sky
33,Palmer,US,42.1584,-72.3287,76.64,44,75,5.01,broken clouds
34,Lensk,RU,60.7253,114.9278,38.07,87,98,12.24,overcast clouds
35,Srednekolymsk,RU,67.45,153.6833,-12.01,100,85,1.97,overcast clouds
36,Qaanaaq,GL,77.484,-69.3632,1.33,77,50,7.45,scattered clouds
37,Isangel,VU,-19.55,169.2667,74.34,87,99,2.1,overcast clouds
38,Cape Town,ZA,-33.9258,18.4232,64.09,59,100,10.0,overcast clouds
39,Yellowknife,CA,62.456,-114.3525,45.28,81,4,18.01,clear sky
40,Vaini,TO,-21.2,-175.2,73.56,94,40,8.05,light intensity shower rain
41,Manturovo,RU,58.3353,44.7619,48.22,95,96,10.42,overcast clouds
42,Busselton,AU,-33.65,115.3333,50.09,84,40,6.31,scattered clouds
43,Kodiak,US,57.79,-152.4072,37.6,91,100,5.21,light rain
44,Darnah,LY,32.767,22.6367,68.81,64,5,8.01,clear sky
45,Chokurdakh,RU,70.6333,147.9167,-14.03,95,99,4.14,overcast clouds
46,East London,ZA,-33.0153,27.9116,71.38,77,100,15.05,overcast clouds
47,Tahe,CN,52.3333,124.7333,29.37,78,20,4.16,few clouds
48,Morogoro,TZ,-6.8167,37.6667,72.86,70,27,5.88,scattered clouds
49,Luderitz,NA,-26.6481,15.1594,58.53,79,63,11.65,broken clouds
50,Yichang,CN,30.7144,111.2847,57.51,76,100,1.54,light rain
51,Nizwa,OM,22.9333,57.5333,82.96,39,5,4.25,clear sky
52,Alice Springs,AU,-23.7,133.8833,63.95,36,0,0.0,clear sky
53,Kahului,US,20.8947,-156.47,78.96,76,0,5.99,clear sky
54,Tiksi,RU,71.6872,128.8694,12.18,95,100,12.28,light snow
55,Dukat,RU,62.55,155.55,-13.22,94,65,3.18,broken clouds
56,New Norfolk,AU,-42.7826,147.0587,58.5,70,100,2.8,overcast clouds
57,Faya,SA,18.3851,42.4509,64.92,23,10,9.01,clear sky
58,Ribeira Grande,PT,38.5167,-28.7,70.2,73,40,8.05,scattered clouds
59,Erechim,BR,-27.6342,-52.2739,68.27,61,89,4.21,overcast clouds
60,Jamestown,US,42.097,-79.2353,70.09,80,90,5.99,heavy intensity rain
61,Mataura,NZ,-46.1927,168.8643,39.43,91,23,2.53,few clouds
62,Qaqortoq,GL,60.7167,-46.0333,39.25,36,100,5.12,overcast clouds
63,Saint George,US,37.1041,-113.5841,79.27,28,1,1.01,clear sky
64,Salinopolis,BR,-0.6136,-47.3561,84.56,68,63,9.35,broken clouds
65,Bredasdorp,ZA,-34.5322,20.0403,66.27,85,100,7.16,light rain
66,Lusambo,CD,-4.9667,23.45,71.1,94,100,2.55,overcast clouds
67,Katsuura,JP,35.1333,140.3,58.1,89,100,10.78,moderate rain
68,Lavrentiya,RU,65.5833,-171.0,22.69,92,71,3.24,broken clouds
69,Butaritari,KI,3.0707,172.7902,82.31,76,32,17.38,light rain
70,Dikson,RU,73.5069,80.5464,23.43,71,100,10.29,overcast clouds
71,Tautira,PF,-17.7333,-149.15,82.42,77,5,9.89,light rain
72,Korla,CN,41.7597,86.1469,54.84,29,0,6.35,clear sky
73,Padang,ID,-0.9492,100.3543,77.2,87,100,3.13,overcast clouds
74,Waddan,LY,29.1614,16.139,75.58,35,100,15.1,overcast clouds
75,Lebu,CL,-37.6167,-73.65,54.19,65,3,18.07,clear sky
76,Clearlake,US,38.9582,-122.6264,61.02,62,100,3.02,overcast clouds
77,Kannangad,IN,12.3081,75.1063,77.45,91,100,4.12,overcast clouds
78,Atar,MR,20.5169,-13.0499,85.06,14,0,11.39,clear sky
79,Chuy,UY,-33.6971,-53.4616,66.09,59,12,9.33,few clouds
80,Guerrero Negro,MX,27.9769,-114.0611,74.5,62,2,9.46,clear sky
81,Torbay,CA,47.6666,-52.7314,52.57,75,74,10.0,broken clouds
82,Tateyama,JP,34.9833,139.8667,58.01,88,100,14.07,moderate rain
83,Mahebourg,MU,-20.4081,57.7,74.25,82,5,9.75,clear sky
84,Cherskiy,RU,68.75,161.3,5.2,97,100,5.23,overcast clouds
85,Bani,DO,18.2833,-70.3333,89.04,67,14,11.7,few clouds
86,Pskov,RU,57.8136,28.3496,51.71,93,40,15.66,scattered clouds
87,Bluff,NZ,-46.6,168.3333,41.85,85,10,5.68,clear sky
88,Puerto Ayora,EC,-0.7393,-90.3518,71.11,82,99,10.83,overcast clouds
89,Lompoc,US,34.6391,-120.4579,78.01,70,1,9.22,clear sky
90,Ostrovnoy,RU,68.0531,39.5131,33.71,80,100,17.2,overcast clouds
91,Avanigadda,IN,16.0215,80.9181,77.04,84,1,2.3,clear sky
