City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-10-14 20:33:47,-23.1203,-134.9692,74.52,75,76,7.83
1,Marlton,US,2021-10-14 20:42:52,39.8912,-74.9218,79.81,60,1,1.01
2,Faanui,PF,2021-10-14 20:34:42,-16.4833,-151.75,80.46,74,100,10.87
3,Airai,TL,2021-10-14 20:33:58,-8.9266,125.4092,61.92,87,97,1.77
4,Iqaluit,CA,2021-10-14 20:31:16,63.7506,-68.5145,31.73,69,90,11.01
5,Cao Bang,VN,2021-10-14 20:42:53,22.6667,106.25,68.13,98,100,3.29
6,Ushuaia,AR,2021-10-14 20:31:47,-54.8,-68.3,46.02,56,75,18.41
7,Carnarvon,AU,2021-10-14 20:35:12,-24.8667,113.6333,64.47,88,0,5.75
8,Kapaa,US,2021-10-14 20:34:09,22.0752,-159.319,80.92,73,40,4.0
9,Vaitape,PF,2021-10-14 20:42:54,-16.5167,-151.75,80.46,74,100,10.76
10,Souillac,MU,2021-10-14 20:38:40,-20.5167,57.5167,73.78,73,20,8.05
11,Kristiansund,NO,2021-10-14 20:42:55,63.1115,7.732,45.25,93,75,10.36
12,Vanimo,PG,2021-10-14 20:34:41,-2.6741,141.3028,77.85,88,52,4.92
13,Ponta Do Sol,PT,2021-10-14 20:34:02,32.6667,-17.1,70.43,77,15,2.75
14,Palmer,US,2021-10-14 20:36:31,42.1584,-72.3287,75.31,62,75,1.01
15,Svetlaya,RU,2021-10-14 20:42:56,46.5389,138.3297,43.68,70,0,9.13
16,Ranong,TH,2021-10-14 20:42:57,9.9658,98.6348,78.48,90,97,13.35
17,Salalah,OM,2021-10-14 20:36:04,17.0151,54.0924,78.89,73,0,5.75
18,Champerico,GT,2021-10-14 20:42:58,14.3,-91.9167,90.14,72,96,9.6
19,Barrow,US,2021-10-14 20:34:20,71.2906,-156.7887,28.42,86,90,23.02
20,Rey Bouba,CM,2021-10-14 20:42:58,8.6724,14.1786,78.35,66,47,3.58
21,Lerwick,GB,2021-10-14 20:42:59,60.1545,-1.1494,44.6,66,54,29.62
22,Camopi,GF,2021-10-14 20:43:00,3.1655,-52.3158,86.99,39,39,6.85
23,Narsaq,GL,2021-10-14 20:35:51,60.9167,-46.05,34.02,51,34,3.36
24,Port Elizabeth,ZA,2021-10-14 20:34:28,-33.918,25.5701,59.09,75,100,7.7
25,Palana,RU,2021-10-14 20:43:01,59.1167,159.9667,23.2,81,14,5.79
26,Esperance,AU,2021-10-14 20:37:19,-33.8667,121.9,48.04,88,91,9.4
27,Oparino,RU,2021-10-14 20:43:02,59.8518,48.2783,43.3,51,100,8.81
28,Punta Arenas,CL,2021-10-14 20:41:11,-53.15,-70.9167,48.31,46,20,21.85
29,Gamba,GA,2021-10-14 20:43:03,-2.65,10.0,76.98,89,96,6.31
30,Havre-Saint-Pierre,CA,2021-10-14 20:43:04,50.2334,-63.5986,59.36,63,90,12.66
31,Codrington,AU,2021-10-14 20:35:55,-38.2667,141.9667,50.81,89,98,9.28
32,Westport,US,2021-10-14 20:34:30,41.1415,-73.3579,78.82,62,1,1.01
33,Udachnyy,RU,2021-10-14 20:43:06,66.4167,112.4,-1.19,99,65,6.42
34,Cape Town,ZA,2021-10-14 20:32:22,-33.9258,18.4232,60.28,68,75,5.75
35,Bengkulu,ID,2021-10-14 20:34:11,-3.8004,102.2655,74.79,88,100,3.29
36,New Norfolk,AU,2021-10-14 20:34:12,-42.7826,147.0587,57.65,89,100,1.01
37,Nishihara,JP,2021-10-14 20:34:31,26.1842,127.7558,78.85,83,20,6.91
38,Ribeira Grande,PT,2021-10-14 20:33:42,38.5167,-28.7,73.8,94,75,16.11
39,Vaini,TO,2021-10-14 20:33:27,-21.2,-175.2,77.16,83,20,10.36
40,Moranbah,AU,2021-10-14 20:43:08,-22.0016,148.0466,76.12,68,5,15.88
41,Hermanus,ZA,2021-10-14 20:34:10,-34.4187,19.2345,57.9,81,100,4.61
42,Havelock,US,2021-10-14 20:43:09,34.8791,-76.9013,82.63,77,50,1.99
43,Mataura,NZ,2021-10-14 20:34:15,-46.1927,168.8643,48.92,65,84,4.16
44,Sobolevo,RU,2021-10-14 20:39:35,54.4299,31.8996,37.62,79,99,7.38
45,Selkirk,CA,2021-10-14 20:43:11,50.1436,-96.8845,52.09,85,100,14.23
46,Husavik,IS,2021-10-14 20:37:34,66.0449,-17.3389,42.71,63,24,15.48
47,Port-Gentil,GA,2021-10-14 20:43:12,-0.7193,8.7815,80.56,78,75,11.5
48,Touros,BR,2021-10-14 20:33:39,-5.1989,-35.4608,81.5,80,9,14.76
49,Provideniya,RU,2021-10-14 20:35:58,64.3833,-173.3,32.11,59,75,15.66
50,Tuktoyaktuk,CA,2021-10-14 20:33:52,69.4541,-133.0374,30.2,100,40,5.75
51,Richards Bay,ZA,2021-10-14 20:39:35,-28.783,32.0377,69.62,74,20,17.81
52,Avarua,CK,2021-10-14 20:35:46,-21.2078,-159.775,78.85,73,94,2.3
53,Kloulklubed,PW,2021-10-14 20:37:57,7.0419,134.2556,83.61,74,100,11.16
54,Kargasok,RU,2021-10-14 20:43:14,59.0556,80.8572,36.93,97,99,7.99
55,Taoudenni,ML,2021-10-14 20:43:15,22.6783,-3.9836,92.32,9,2,8.77
56,Pevek,RU,2021-10-14 20:35:39,69.7008,170.3133,19.06,91,100,3.36
57,Grindavik,IS,2021-10-14 20:35:52,63.8424,-22.4338,41.47,81,40,17.27
58,Ankang,CN,2021-10-14 20:39:47,32.68,109.0172,56.16,93,100,1.79
59,Leningradskiy,RU,2021-10-14 20:38:09,69.3833,178.4167,17.71,92,100,10.16
60,Hondo,JP,2021-10-14 20:39:25,32.45,130.2,71.11,66,0,5.28
61,Virginia Beach,US,2021-10-14 20:38:51,36.8529,-75.978,81.01,70,75,9.22
62,Victoria,HK,2021-10-14 20:30:07,22.2855,114.1577,81.25,85,100,1.01
63,Bredasdorp,ZA,2021-10-14 20:33:44,-34.5322,20.0403,55.27,85,92,2.26
64,Butaritari,KI,2021-10-14 20:34:17,3.0707,172.7902,82.13,73,19,14.18
65,Saint George,US,2021-10-14 20:29:55,37.1041,-113.5841,68.63,35,1,1.01
66,Dikson,RU,2021-10-14 20:33:09,73.5069,80.5464,32.25,99,100,8.57
67,East London,ZA,2021-10-14 20:35:50,-33.0153,27.9116,64.0,74,100,8.48
68,Yulara,AU,2021-10-14 20:43:18,-25.2406,130.9889,53.44,40,0,8.05
69,Vila Velha,BR,2021-10-14 20:31:29,-20.3297,-40.2925,78.75,78,20,19.57
70,Axim,GH,2021-10-14 20:43:19,4.8699,-2.2405,79.03,88,100,8.41
71,Guskhara,IN,2021-10-14 20:43:19,23.5,87.75,84.69,88,96,4.61
72,Hilo,US,2021-10-14 20:34:19,19.7297,-155.09,77.11,84,75,8.05
73,Kashi,CN,2021-10-14 20:43:20,39.4547,75.9797,51.01,25,0,8.95
74,Busselton,AU,2021-10-14 20:33:49,-33.65,115.3333,51.04,81,87,11.99
75,Baherden,TM,2021-10-14 20:43:21,38.4362,57.4316,61.57,18,77,3.67
76,Dalianwan,CN,2021-10-14 20:43:21,39.0286,121.695,59.04,82,75,4.47
77,Saint-Philippe,RE,2021-10-14 20:37:15,-21.3585,55.7679,71.19,84,35,10.85
78,Lubumbashi,CD,2021-10-14 20:43:22,-11.6609,27.4794,70.9,44,63,3.38
79,Albany,US,2021-10-14 20:33:29,42.6001,-73.9662,74.05,71,98,4.97
80,Henties Bay,NA,2021-10-14 20:43:23,-22.116,14.2845,59.86,91,13,14.36
81,Atuona,PF,2021-10-14 20:34:07,-9.8,-139.0333,77.95,78,24,16.55
82,Tiksi,RU,2021-10-14 20:34:46,71.6872,128.8694,9.27,94,100,7.61
83,Fort Smith,US,2021-10-14 20:43:24,35.3859,-94.3986,73.44,91,90,0.0
84,Bambanglipuro,ID,2021-10-14 20:34:39,-7.95,110.2833,75.18,81,93,3.78
85,Sao Filipe,CV,2021-10-14 20:33:42,14.8961,-24.4956,78.49,74,96,9.28
86,Norman Wells,CA,2021-10-14 20:33:34,65.282,-126.8329,26.64,80,75,8.05
87,Coahuayana,MX,2021-10-14 20:43:26,18.7333,-103.6833,90.88,63,1,5.95
88,Ahuimanu,US,2021-10-14 20:43:26,21.4447,-157.8378,82.11,73,75,11.5
89,Nikolskoye,RU,2021-10-14 20:34:33,59.7035,30.7861,40.8,91,10,4.79
90,Port Hardy,CA,2021-10-14 20:37:09,50.6996,-127.4199,50.18,87,90,9.22
91,Chuy,UY,2021-10-14 20:34:21,-33.6971,-53.4616,63.61,92,86,8.86
92,Hasaki,JP,2021-10-14 20:35:34,35.7333,140.8333,57.29,71,0,2.33
93,Aromashevo,RU,2021-10-14 20:43:28,56.8602,68.6375,42.49,80,4,6.49
94,Moron,AR,2021-10-14 20:43:29,-34.6534,-58.6198,65.97,73,30,13.0
95,Yellowknife,CA,2021-10-14 20:31:02,62.456,-114.3525,46.29,82,20,14.97
96,Brzeg,PL,2021-10-14 20:43:30,50.8608,17.4674,49.71,86,100,11.48
97,Chernyshevskiy,RU,2021-10-14 20:43:30,63.0128,112.4714,12.76,98,72,2.39
98,Tessalit,ML,2021-10-14 20:37:16,20.1986,1.0114,87.28,9,100,9.04
99,Rio Gallegos,AR,2021-10-14 20:38:08,-51.6226,-69.2181,50.05,27,75,28.77
100,Vilhena,BR,2021-10-14 20:35:18,-12.7406,-60.1458,89.82,45,40,13.8
101,Bluff,NZ,2021-10-14 20:35:48,-46.6,168.3333,48.96,70,99,12.82
102,Kalmar,SE,2021-10-14 20:43:32,56.6616,16.3616,52.97,93,75,6.91
103,Pasni,PK,2021-10-14 20:43:33,25.2631,63.471,81.57,29,0,12.68
104,Banyo,CM,2021-10-14 20:43:34,6.75,11.8167,67.5,91,92,4.27
105,Semey,KZ,2021-10-14 20:43:34,50.4111,80.2275,36.34,87,4,10.25
106,Qaanaaq,GL,2021-10-14 20:34:55,77.484,-69.3632,19.11,95,95,8.1
107,Remontnoye,RU,2021-10-14 20:43:36,46.5614,43.6501,55.81,63,79,5.97
108,Akyab,MM,2021-10-14 20:38:06,20.15,92.9,80.55,89,100,6.49
